country,iso3c,year,coverage,measure,format,source,timespan,lorenz_points
Angola,AGO,2000,Urban,Consumption,Unit record,AGO_U2000X,UnDefined,100
Angola,AGO,2008,National,Consumption,Unit record,AGO_N2008X,UnDefined,100
Albania,ALB,1996,National,Consumption,Unit record,ALB_N1996X,UnDefined,100
Albania,ALB,2002,National,Consumption,Unit record,ALB_N2002X,UnDefined,100
Albania,ALB,2005,National,Consumption,Unit record,ALB_N2005X,UnDefined,100
Albania,ALB,2008,National,Consumption,Unit record,ALB_N2008X,UnDefined,100
Albania,ALB,2012,National,Consumption,Unit record,ALB_N2012X,UnDefined,100
Argentina,ARG,1980,Urban,Income,Grouped,ARG_U1980Y,UnDefined,10
Argentina,ARG,1986,Urban,Income,Grouped,ARG_U1986Y,UnDefined,20
Argentina,ARG,1987,Urban,Income,Grouped,ARG_U1987Y,UnDefined,20
Argentina,ARG,1991,Urban,Income,Unit record,ARG_U1991Y,UnDefined,20
Argentina,ARG,1992,Urban,Income,Unit record,ARG_U1992Y,UnDefined,100
Argentina,ARG,1993,Urban,Income,Unit record,ARG_U1993Y,UnDefined,100
Argentina,ARG,1994,Urban,Income,Unit record,ARG_U1994Y,UnDefined,100
Argentina,ARG,1995,Urban,Income,Unit record,ARG_U1995Y,UnDefined,100
Argentina,ARG,1996,Urban,Income,Unit record,ARG_U1996Y,UnDefined,100
Argentina,ARG,1997,Urban,Income,Unit record,ARG_U1997Y,UnDefined,100
Argentina,ARG,1998,Urban,Income,Unit record,ARG_U1998Y,UnDefined,100
Argentina,ARG,1999,Urban,Income,Unit record,ARG_U1999Y,UnDefined,100
Argentina,ARG,2000,Urban,Income,Unit record,ARG_U2000Y,UnDefined,100
Argentina,ARG,2001,Urban,Income,Unit record,ARG_U2001Y,UnDefined,100
Argentina,ARG,2002,Urban,Income,Unit record,ARG_U2002Y,UnDefined,100
Argentina,ARG,2003,Urban,Income,Unit record,ARG_U2003Y,UnDefined,100
Argentina,ARG,2004,Urban,Income,Unit record,ARG_U2004Y,UnDefined,100
Argentina,ARG,2005,Urban,Income,Unit record,ARG_U2005Y,UnDefined,100
Argentina,ARG,2006,Urban,Income,Unit record,ARG_U2006Y,UnDefined,100
Argentina,ARG,2007,Urban,Income,Unit record,ARG_U2007Y,UnDefined,100
Argentina,ARG,2008,Urban,Income,Unit record,ARG_U2008Y,UnDefined,100
Argentina,ARG,2009,Urban,Income,Unit record,ARG_U2009Y,UnDefined,100
Argentina,ARG,2010,Urban,Income,Unit record,ARG_U2010Y,UnDefined,100
Argentina,ARG,2011,Urban,Income,Unit record,ARG_U2011Y,UnDefined,100
Argentina,ARG,2012,Urban,Income,Unit record,ARG_U2012Y,UnDefined,100
Argentina,ARG,2013,Urban,Income,Unit record,ARG_U2013Y,UnDefined,100
Argentina,ARG,2014,Urban,Income,Unit record,ARG_U2014Y,UnDefined,100
Armenia,ARM,1996,National,Income,Grouped,ARM_N1996Y,UnDefined,10
Armenia,ARM,1999,National,Consumption,Unit record,ARM_N1999X,UnDefined,100
Armenia,ARM,2001,National,Consumption,Unit record,ARM_N2001X,UnDefined,100
Armenia,ARM,2002,National,Consumption,Unit record,ARM_N2002X,UnDefined,100
Armenia,ARM,2003,National,Consumption,Unit record,ARM_N2003X,UnDefined,100
Armenia,ARM,2004,National,Consumption,Unit record,ARM_N2004X,UnDefined,100
Armenia,ARM,2005,National,Consumption,Unit record,ARM_N2005X,UnDefined,100
Armenia,ARM,2006,National,Consumption,Unit record,ARM_N2006X,UnDefined,100
Armenia,ARM,2007,National,Consumption,Unit record,ARM_N2007X,UnDefined,100
Armenia,ARM,2008,National,Consumption,Unit record,ARM_N2008X,UnDefined,100
Armenia,ARM,2009,National,Consumption,Unit record,ARM_N2009X,UnDefined,100
Armenia,ARM,2010,National,Consumption,Unit record,ARM_N2010X,UnDefined,100
Armenia,ARM,2011,National,Consumption,Unit record,ARM_N2011X,UnDefined,100
Armenia,ARM,2012,National,Consumption,Unit record,ARM_N2012X,UnDefined,100
Armenia,ARM,2013,National,Consumption,Unit record,ARM_N2013X,UnDefined,100
Armenia,ARM,2014,National,Consumption,Unit record,ARM_N2014X,UnDefined,100
Australia,AUS,1981,National,Income,Unit record,AUS_N1981Y,UnDefined,20
Australia,AUS,1985,National,Income,Unit record,AUS_N1985Y,UnDefined,20
Australia,AUS,1989,National,Income,Unit record,AUS_N1989Y,UnDefined,20
Australia,AUS,1995,National,Income,Unit record,AUS_N1995Y,UnDefined,20
Australia,AUS,2001,National,Income,Unit record,AUS_N2001Y,UnDefined,20
Australia,AUS,2003,National,Income,Unit record,AUS_N2003Y,UnDefined,20
